name,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Sharri,Adelie,Biscoe,39,17.5,186,3550
Izetta,Adelie,Biscoe,40.6,18.8,193,3800
Dayamy,Adelie,Biscoe,36.5,16.6,181,2850
Jayveion,Adelie,Biscoe,37.6,19.1,194,3750
Omie,Adelie,Biscoe,35.7,16.9,185,3150
Cheretta,Adelie,Biscoe,41.3,21.1,195,4400
Jacyn,Adelie,Biscoe,37.6,17,185,3600
Fleur,Adelie,Biscoe,41.1,18.2,192,4050
Aurthur,Adelie,Biscoe,36.4,17.1,184,2850
Jaiquez,Adelie,Biscoe,41.6,18,192,3950
Sankeerth,Adelie,Biscoe,35.5,16.2,195,3350
Violett,Adelie,Biscoe,41.1,19.1,188,4100
Tranda,Adelie,Torgersen,35.9,16.6,190,3050
Tegan,Adelie,Torgersen,41.8,19.4,198,4450
Lestie,Adelie,Torgersen,33.5,19,190,3600
Jofiel,Adelie,Torgersen,39.7,18.4,190,3900
Cleto,Adelie,Torgersen,39.6,17.2,196,3550
Naisaiah,Adelie,Torgersen,45.8,18.9,197,4150
Rithi,Adelie,Torgersen,35.5,17.5,190,3700
Jacquis,Adelie,Torgersen,42.8,18.5,195,4250
Raisah,Adelie,Torgersen,40.9,16.8,191,3700
Alaiyah,Adelie,Torgersen,37.2,19.4,184,3900
Tamarian,Adelie,Torgersen,36.2,16.1,187,3550
Kial,Adelie,Torgersen,42.1,19.1,195,4000
Lishia,Adelie,Torgersen,34.6,17.2,189,3200
Thamas,Adelie,Torgersen,42.9,17.6,196,4700
Gerta,Adelie,Torgersen,36.7,18.8,187,3800
Kemarley,Adelie,Torgersen,35.1,19.4,193,4200
Kyia,Adelie,Dream,37.3,17.8,191,3350
Evoleth,Adelie,Dream,41.3,20.3,194,3550
Congetta,Adelie,Dream,36.3,19.5,190,3800
Linell,Adelie,Dream,36.9,18.6,189,3500
Martrice,Adelie,Dream,38.3,19.2,189,3950
Damber,Adelie,Dream,38.9,18.8,190,3600
Enisa,Adelie,Dream,35.7,18,202,3550
Latina,Adelie,Dream,41.1,18.1,205,4300
Sheralyn,Adelie,Dream,34,17.1,185,3400
Esti,Adelie,Dream,39.6,18.1,186,4450
Andri,Adelie,Dream,36.2,17.3,187,3300
Keaundre,Adelie,Dream,40.8,18.9,208,4300
Kaylo,Adelie,Dream,38.1,18.6,190,3700
Raylinn,Adelie,Dream,40.3,18.5,196,4350
Mareo,Adelie,Dream,33.1,16.1,178,2900
Barty,Adelie,Dream,43.2,18.5,192,4100
Edlynn,Adelie,Biscoe,35,17.9,192,3725
Lexandra,Adelie,Biscoe,41,20,203,4725
Gevon,Adelie,Biscoe,37.7,16,183,3075
Jasahn,Adelie,Biscoe,37.8,20,190,4250
Raquawn,Adelie,Biscoe,37.9,18.6,193,2925
Tajuanda,Adelie,Biscoe,39.7,18.9,184,3550
Marella,Adelie,Biscoe,38.6,17.2,199,3750
Nichaolas,Adelie,Biscoe,38.2,20,190,3900
Peneloperose,Adelie,Biscoe,38.1,17,181,3175
Dejuante,Adelie,Biscoe,43.2,19,197,4775
Chemar,Adelie,Biscoe,38.1,16.5,198,3825
Jaklyn,Adelie,Biscoe,45.6,20.3,191,4600
Kendred,Adelie,Biscoe,39.7,17.7,193,3200
Cherica,Adelie,Biscoe,42.2,19.5,197,4275
Nasheed,Adelie,Biscoe,39.6,20.7,191,3900
Jestene,Adelie,Biscoe,42.7,18.3,196,4075
Mckala,Adelie,Torgersen,38.6,17,188,2900
Nahom,Adelie,Torgersen,37.3,20.5,199,3775
Dajshia,Adelie,Torgersen,35.7,17,189,3350
Mattias,Adelie,Torgersen,41.1,18.6,189,3325
Nijah,Adelie,Torgersen,36.2,17.2,187,3150
Burak,Adelie,Torgersen,37.7,19.8,198,3500
Kippi,Adelie,Torgersen,40.2,17,176,3450
Monyae,Adelie,Torgersen,41.4,18.5,202,3875
Daanish,Adelie,Torgersen,35.2,15.9,186,3050
Aswath,Adelie,Torgersen,40.6,19,199,4000
Marqueta,Adelie,Torgersen,38.8,17.6,191,3275
Cathye,Adelie,Torgersen,41.5,18.3,195,4300
Stamatios,Adelie,Torgersen,39,17.1,191,3050
Camm,Adelie,Torgersen,44.1,18,210,4000
Omaida,Adelie,Torgersen,38.5,17.9,190,3325
Breeaunna,Adelie,Torgersen,43.1,19.2,197,3500
Moses,Adelie,Dream,36.8,18.5,193,3500
Yorlei,Adelie,Dream,37.5,18.5,199,4475
Marshaun,Adelie,Dream,38.1,17.6,187,3425
Hayz,Adelie,Dream,41.1,17.5,190,3900
Kainin,Adelie,Dream,35.6,17.5,191,3175
Eterniti,Adelie,Dream,40.2,20.1,200,3975
Elron,Adelie,Dream,37,16.5,185,3400
Brinli,Adelie,Dream,39.7,17.9,193,4250
Nyisha,Adelie,Dream,40.2,17.1,193,3400
Jedaiah,Adelie,Dream,40.6,17.2,187,3475
Mekiyah,Adelie,Dream,32.1,15.5,188,3050
Jerianna,Adelie,Dream,40.7,17,190,3725
Zilla,Adelie,Dream,37.3,16.8,192,3000
Christhoper,Adelie,Dream,39,18.7,185,3650
Alexuis,Adelie,Dream,39.2,18.6,190,4250
Salahudin,Adelie,Dream,36.6,18.4,184,3475
Bibiana,Adelie,Dream,36,17.8,195,3450
Maryhelen,Adelie,Dream,37.8,18.1,193,3750
Saleisha,Adelie,Dream,36,17.1,187,3700
Shu,Adelie,Dream,41.5,18.5,201,4000
Daxton,Gentoo,Biscoe,46.1,13.2,211,4500
Omarri,Gentoo,Biscoe,50,16.3,230,5700
Jennfer,Gentoo,Biscoe,48.7,14.1,210,4450
Casius,Gentoo,Biscoe,50,15.2,218,5700
Kyiana,Gentoo,Biscoe,47.6,14.5,215,5400
Ivor,Gentoo,Biscoe,46.5,13.5,210,4550
Moxen,Gentoo,Biscoe,45.4,14.6,211,4800
Cruzita,Gentoo,Biscoe,46.7,15.3,219,5200
Yassmin,Gentoo,Biscoe,43.3,13.4,209,4400
Hjordis,Gentoo,Biscoe,46.8,15.4,215,5150
Senita,Gentoo,Biscoe,40.9,13.7,214,4650
Amilyn,Gentoo,Biscoe,49,16.1,216,5550
Schmeka,Gentoo,Biscoe,45.5,13.7,214,4650
Lamauri,Gentoo,Biscoe,48.4,14.6,213,5850
Tyhesha,Gentoo,Biscoe,45.8,14.6,210,4200
Charlies,Gentoo,Biscoe,49.3,15.7,217,5850
Tniya,Gentoo,Biscoe,42,13.5,210,4150
Pharren,Gentoo,Biscoe,49.2,15.2,221,6300
Heron,Gentoo,Biscoe,46.2,14.5,209,4800
Emarosa,Gentoo,Biscoe,48.7,15.1,222,5350
Volley,Gentoo,Biscoe,50.2,14.3,218,5700
Zayliah,Gentoo,Biscoe,45.1,14.5,215,5000
Oleane,Gentoo,Biscoe,46.5,14.5,213,4400
Shuvonne,Gentoo,Biscoe,46.3,15.8,215,5050
Doneld,Gentoo,Biscoe,42.9,13.1,215,5000
Meosha,Gentoo,Biscoe,46.1,15.1,215,5100
Kyeden,Gentoo,Biscoe,44.5,14.3,216,4100
Aeneas,Gentoo,Biscoe,47.8,15,215,5650
Ieshea,Gentoo,Biscoe,48.2,14.3,210,4600
Mianca,Gentoo,Biscoe,50,15.3,220,5550
Josh,Gentoo,Biscoe,47.3,15.3,222,5250
Montrece,Gentoo,Biscoe,42.8,14.2,209,4700
Cleophis,Gentoo,Biscoe,45.1,14.5,207,5050
Natilee,Gentoo,Biscoe,59.6,17,230,6050
Moncerath,Gentoo,Biscoe,49.1,14.8,220,5150
Havin,Gentoo,Biscoe,48.4,16.3,220,5400
Delva,Gentoo,Biscoe,42.6,13.7,213,4950
Joaolucas,Gentoo,Biscoe,44.4,17.3,219,5250
Ayden,Gentoo,Biscoe,44,13.6,208,4350
Willford,Gentoo,Biscoe,48.7,15.7,208,5350
Jamisen,Gentoo,Biscoe,42.7,13.7,208,3950
Yurem,Gentoo,Biscoe,49.6,16,225,5700
Cazzie,Gentoo,Biscoe,45.3,13.7,210,4300
Bobbiejean,Gentoo,Biscoe,49.6,15,216,4750
Cleburne,Gentoo,Biscoe,50.5,15.9,222,5550
Chiffon,Gentoo,Biscoe,43.6,13.9,217,4900
Marillyn,Gentoo,Biscoe,45.5,13.9,210,4200
Joaquim,Gentoo,Biscoe,50.5,15.9,225,5400
Yanali,Gentoo,Biscoe,44.9,13.3,213,5100
Asami,Gentoo,Biscoe,45.2,15.8,215,5300
Ezlynn,Gentoo,Biscoe,46.6,14.2,210,4850
Denyelle,Gentoo,Biscoe,48.5,14.1,220,5300
Monifah,Gentoo,Biscoe,45.1,14.4,210,4400
Hylan,Gentoo,Biscoe,50.1,15,225,5000
Kharsyn,Gentoo,Biscoe,46.5,14.4,217,4900
Tristiana,Gentoo,Biscoe,45,15.4,220,5050
Delmonte,Gentoo,Biscoe,43.8,13.9,208,4300
Leteshia,Gentoo,Biscoe,45.5,15,220,5000
Dylam,Gentoo,Biscoe,43.2,14.5,208,4450
Adrita,Gentoo,Biscoe,50.4,15.3,224,5550
Sevanna,Gentoo,Biscoe,45.3,13.8,208,4200
Rayjohn,Gentoo,Biscoe,46.2,14.9,221,5300
Berneil,Gentoo,Biscoe,45.7,13.9,214,4400
Oluwafikayomi,Gentoo,Biscoe,54.3,15.7,231,5650
Remika,Gentoo,Biscoe,45.8,14.2,219,4700
Filisha,Gentoo,Biscoe,49.8,16.8,230,5700
Jamele,Gentoo,Biscoe,46.2,14.4,214,4650
Brandon,Gentoo,Biscoe,49.5,16.2,229,5800
Daezha,Gentoo,Biscoe,43.5,14.2,220,4700
Wingate,Gentoo,Biscoe,50.7,15,223,5550
Tomma,Gentoo,Biscoe,47.7,15,216,4750
Tiffni,Gentoo,Biscoe,46.4,15.6,221,5000
Duveen,Gentoo,Biscoe,48.2,15.6,221,5100
Jovari,Gentoo,Biscoe,46.5,14.8,217,5200
Gerriann,Gentoo,Biscoe,46.4,15,216,4700
Nirja,Gentoo,Biscoe,48.6,16,230,5800
Naeyli,Gentoo,Biscoe,47.5,14.2,209,4600
Jahsier,Gentoo,Biscoe,51.1,16.3,220,6000
Timaka,Gentoo,Biscoe,45.2,13.8,215,4750
Garius,Gentoo,Biscoe,45.2,16.4,223,5950
Riahnna,Gentoo,Biscoe,49.1,14.5,212,4625
Tawanna,Gentoo,Biscoe,52.5,15.6,221,5450
Bethzabeth,Gentoo,Biscoe,47.4,14.6,212,4725
Thornwell,Gentoo,Biscoe,50,15.9,224,5350
Syvia,Gentoo,Biscoe,44.9,13.8,212,4750
Berryman,Gentoo,Biscoe,50.8,17.3,228,5600
Alayshia,Gentoo,Biscoe,43.4,14.4,218,4600
Benjemin,Gentoo,Biscoe,51.3,14.2,218,5300
Tommia,Gentoo,Biscoe,47.5,14,212,4875
Asher,Gentoo,Biscoe,52.1,17,230,5550
Savannahlynn,Gentoo,Biscoe,47.5,15,218,4950
Janelli,Gentoo,Biscoe,52.2,17.1,228,5400
Marquesa,Gentoo,Biscoe,45.5,14.5,212,4750
Joana,Gentoo,Biscoe,49.5,16.1,224,5650
Artemus,Gentoo,Biscoe,44.5,14.7,214,4850
Armen,Gentoo,Biscoe,50.8,15.7,226,5200
Jaemeson,Gentoo,Biscoe,49.4,15.8,216,4925
Shametra,Gentoo,Biscoe,46.9,14.6,222,4875
Yavette,Gentoo,Biscoe,48.4,14.4,203,4625
Wilfrido,Gentoo,Biscoe,51.1,16.5,225,5250
Lashawne,Gentoo,Biscoe,48.5,15,219,4850
Zanijah,Gentoo,Biscoe,55.9,17,228,5600
Nebula,Gentoo,Biscoe,47.2,15.5,215,4975
Sophear,Gentoo,Biscoe,49.1,15,228,5500
Carolle,Gentoo,Biscoe,47.3,13.8,216,4725
Rico,Gentoo,Biscoe,46.8,16.1,215,5500
Vonda,Gentoo,Biscoe,41.7,14.7,210,4700
Basir,Gentoo,Biscoe,53.4,15.8,219,5500
Keylen,Gentoo,Biscoe,43.3,14,208,4575
Prayer,Gentoo,Biscoe,48.1,15.1,209,5500
Harrison,Gentoo,Biscoe,50.5,15.2,216,5000
Kasir,Gentoo,Biscoe,49.8,15.9,229,5950
Nathaniel,Gentoo,Biscoe,43.5,15.2,213,4650
Deserey,Gentoo,Biscoe,51.5,16.3,230,5500
Arryana,Gentoo,Biscoe,46.2,14.1,217,4375
Adonys,Gentoo,Biscoe,55.1,16,230,5850
Jolynda,Gentoo,Biscoe,44.5,15.7,217,4875
Arame,Gentoo,Biscoe,48.8,16.2,222,6000
Kamelya,Gentoo,Biscoe,47.2,13.7,214,4925
Aelish,Gentoo,Biscoe,NA,NA,NA,NA
Sabriah,Gentoo,Biscoe,46.8,14.3,215,4850
Jaiylah,Gentoo,Biscoe,50.4,15.7,222,5750
Arlyne,Gentoo,Biscoe,45.2,14.8,212,5200
Jaydenjames,Gentoo,Biscoe,49.9,16.1,213,5400
Addysun,Chinstrap,Dream,46.5,17.9,192,3500
Tymira,Chinstrap,Dream,50,19.5,196,3900
Ladaisha,Chinstrap,Dream,51.3,19.2,193,3650
Naureen,Chinstrap,Dream,45.4,18.7,188,3525
Loeva,Chinstrap,Dream,52.7,19.8,197,3725
Jamene,Chinstrap,Dream,45.2,17.8,198,3950
Shakiesha,Chinstrap,Dream,46.1,18.2,178,3250
Tobiann,Chinstrap,Dream,51.3,18.2,197,3750
Dkwon,Chinstrap,Dream,46,18.9,195,4150
Tayha,Chinstrap,Dream,51.3,19.9,198,3700
Malkiel,Chinstrap,Dream,46.6,17.8,193,3800
Janicia,Chinstrap,Dream,51.7,20.3,194,3775
Jaxtin,Chinstrap,Dream,47,17.3,185,3700
Lennart,Chinstrap,Dream,52,18.1,201,4050
Sancho,Chinstrap,Dream,45.9,17.1,190,3575
Kellsey,Chinstrap,Dream,50.5,19.6,201,4050
Jetli,Chinstrap,Dream,50.3,20,197,3300
Zyquavion,Chinstrap,Dream,58,17.8,181,3700
Rixton,Chinstrap,Dream,46.4,18.6,190,3450
Elizabete,Chinstrap,Dream,49.2,18.2,195,4400
Raja,Chinstrap,Dream,42.4,17.3,181,3600
Naw,Chinstrap,Dream,48.5,17.5,191,3400
Kaitlin,Chinstrap,Dream,43.2,16.6,187,2900
Jaheed,Chinstrap,Dream,50.6,19.4,193,3800
Sherkita,Chinstrap,Dream,46.7,17.9,195,3300
Elam,Chinstrap,Dream,52,19,197,4150
Robb,Chinstrap,Dream,50.5,18.4,200,3400
Amisadai,Chinstrap,Dream,49.5,19,200,3800
Tyius,Chinstrap,Dream,46.4,17.8,191,3700
Isidore,Chinstrap,Dream,52.8,20,205,4550
Channelle,Chinstrap,Dream,40.9,16.6,187,3200
Amadita,Chinstrap,Dream,54.2,20.8,201,4300
Marv,Chinstrap,Dream,42.5,16.7,187,3350
Thomasenia,Chinstrap,Dream,51,18.8,203,4100
Shen,Chinstrap,Dream,49.7,18.6,195,3600
Nikte,Chinstrap,Dream,47.5,16.8,199,3900
Iddo,Chinstrap,Dream,47.6,18.3,195,3850
Sohrob,Chinstrap,Dream,52,20.7,210,4800
Anavictoria,Chinstrap,Dream,46.9,16.6,192,2700
Julieth,Chinstrap,Dream,53.5,19.9,205,4500
Dvaughn,Chinstrap,Dream,49,19.5,210,3950
Denzelle,Chinstrap,Dream,46.2,17.5,187,3650
Annanicole,Chinstrap,Dream,50.9,19.1,196,3550
Lorri,Chinstrap,Dream,45.5,17,196,3500
Dakkota,Chinstrap,Dream,50.9,17.9,196,3675
Austi,Chinstrap,Dream,50.8,18.5,201,4450
Azan,Chinstrap,Dream,50.1,17.9,190,3400
Ngan,Chinstrap,Dream,49,19.6,212,4300
Revonda,Chinstrap,Dream,51.5,18.7,187,3250
Pantaleon,Chinstrap,Dream,49.8,17.3,198,3675
Ranardo,Chinstrap,Dream,48.1,16.4,199,3325
Deobrah,Chinstrap,Dream,51.4,19,201,3950
Zudora,Chinstrap,Dream,45.7,17.3,193,3600
Charmelle,Chinstrap,Dream,50.7,19.7,203,4050
Jackqulin,Chinstrap,Dream,42.5,17.3,187,3350
Tadarian,Chinstrap,Dream,52.2,18.8,197,3450
Chariyah,Chinstrap,Dream,45.2,16.6,191,3250
Malyk,Chinstrap,Dream,49.3,19.9,203,4050
Jazlin,Chinstrap,Dream,50.2,18.8,202,3800
Francis,Chinstrap,Dream,45.6,19.4,194,3525
Marysia,Chinstrap,Dream,51.9,19.5,206,3950
Trekwon,Chinstrap,Dream,46.8,16.5,189,3650
Owen,Chinstrap,Dream,45.7,17,195,3650
Donyea,Chinstrap,Dream,55.8,19.8,207,4000
Atleigh,Chinstrap,Dream,43.5,18.1,202,3400
Jamere,Chinstrap,Dream,49.6,18.2,193,3775
Eliah,Chinstrap,Dream,50.8,19,210,4100
Akyra,Chinstrap,Dream,50.2,18.7,198,3775
